id,winning_party,points,time_stamp
375,Re,0,2024-12-02 14:28:58
376,Re,4,2024-12-02 15:56:45
377,Re,4,2024-12-02 16:01:30
378,Re,2,2024-12-03 13:40:06
379,Re,3,2024-12-03 13:48:11
380,Re,6,2024-12-03 13:56:12
381,Re,5,2024-12-03 16:28:58
382,Re,1,2024-12-03 16:38:06
383,Kontra,7,2024-12-03 16:45:49
384,Re,4,2024-12-03 16:55:50
385,Re,3,2024-12-04 13:41:47
386,Re,4,2024-12-04 13:50:17
387,Re,0,2024-12-04 14:00:03
388,Kontra,2,2024-12-04 14:09:06
389,Re,4,2024-12-04 14:16:44
390,Re,0,2024-12-04 14:25:42
391,Re,3,2024-12-05 14:30:38
392,Re,3,2024-12-05 14:38:32
393,Re,3,2024-12-05 14:46:41
394,Re,5,2024-12-05 14:55:18
395,Re,4,2024-12-05 15:05:03
396,Kontra,1,2024-12-06 13:24:42
397,Kontra,3,2024-12-06 13:33:29
398,Re,6,2024-12-06 13:41:02
399,Re,1,2024-12-06 13:51:38
400,Kontra,1,2024-12-06 14:01:02
401,Re,2,2024-12-06 16:30:02
402,Re,5,2024-12-06 16:38:29
403,Re,2,2024-12-06 16:49:15
404,Re,1,2024-12-06 17:00:15
405,Kontra,3,2024-12-06 17:09:40
406,Re,2,2024-12-09 13:41:23
407,Kontra,1,2024-12-09 13:47:16
408,Kontra,5,2024-12-09 14:00:48
409,Kontra,4,2024-12-09 14:07:41
410,Kontra,3,2024-12-09 14:13:57
411,Re,2,2024-12-10 12:42:31
412,Re,5,2024-12-10 12:53:58
413,Re,1,2024-12-10 13:02:54
414,Re,1,2024-12-10 13:15:19
415,Re,2,2024-12-10 13:23:28
416,Kontra,4,2024-12-10 13:34:04
417,Re,3,2024-12-11 13:47:30
418,Re,4,2024-12-11 13:57:06
419,Kontra,7,2024-12-11 14:04:30
420,Re,4,2024-12-11 14:11:30
421,Kontra,1,2024-12-11 14:19:44
422,Kontra,8,2024-12-11 14:29:34
423,Re,2,2024-12-11 14:36:21
424,Kontra,1,2024-12-11 14:41:20
425,Re,5,2024-12-12 12:57:00
426,Re,5,2024-12-12 14:25:17
427,Kontra,5,2024-12-12 14:33:42
428,Re,3,2024-12-12 14:43:57
429,Re,2,2024-12-12 14:49:49
430,Re,3,2024-12-12 14:59:40
431,Re,4,2024-12-12 21:40:51
432,Kontra,2,2024-12-12 21:49:37
433,Re,6,2024-12-12 21:59:37
434,Re,6,2024-12-13 13:13:54
435,Re,1,2024-12-13 13:24:45
436,Kontra,4,2024-12-16 13:43:27
437,Re,2,2024-12-16 13:52:11
438,Kontra,-2,2024-12-16 14:00:28
439,Re,3,2024-12-16 14:08:13
440,Re,1,2024-12-16 14:14:41
441,Kontra,3,2024-12-16 14:20:45
442,Kontra,2,2024-12-17 12:57:44
443,Kontra,6,2024-12-17 13:05:45
444,Kontra,2,2024-12-17 13:17:41
445,Re,4,2024-12-17 13:27:26
446,Re,2,2024-12-17 13:42:57
447,Re,3,2024-12-17 13:48:19
448,Re,2,2024-12-17 13:57:25
449,Kontra,1,2024-12-18 13:23:36
450,Re,1,2024-12-18 13:32:58
451,Re,2,2024-12-18 13:41:11
452,Kontra,1,2024-12-18 13:49:12
453,Re,2,2024-12-18 13:56:40
454,Kontra,1,2024-12-18 14:06:42
455,Re,2,2024-12-18 14:15:36
456,Re,3,2024-12-18 22:23:58
457,Kontra,7,2024-12-18 22:34:43
458,Re,4,2024-12-19 13:19:24
459,Kontra,7,2024-12-19 13:31:11
460,Re,1,2024-12-19 13:40:08
461,Re,2,2024-12-19 13:47:36
462,Re,8,2024-12-19 13:57:02
463,Kontra,2,2024-12-20 13:13:53
464,Re,3,2024-12-20 13:21:25
465,Kontra,3,2024-12-20 13:32:29
466,Kontra,2,2024-12-20 13:38:07
467,Kontra,1,2024-12-20 13:45:20
468,Re,2,2024-12-20 13:57:32
469,Re,4,2024-12-20 14:03:49
470,Kontra,2,2025-01-02 21:02:50
471,Kontra,4,2025-01-02 21:16:01
472,Re,2,2025-01-02 21:26:24
473,Re,3,2025-01-02 21:37:00
474,Kontra,2,2025-01-02 21:48:56
475,Re,7,2025-01-02 22:01:47
476,Re,5,2025-01-02 22:15:44
477,Re,3,2025-01-02 22:27:06
478,Re,3,2025-01-02 22:37:22
479,Re,3,2025-01-02 22:46:31
480,Kontra,3,2025-01-02 22:57:09
481,Kontra,4,2025-01-02 23:08:37
482,Re,5,2025-01-02 23:29:53
483,Re,1,2025-01-07 12:59:00
484,Kontra,-1,2025-01-07 13:10:10
485,Re,1,2025-01-07 13:18:28
486,Re,5,2025-01-07 13:35:20
487,Re,2,2025-01-07 16:19:53
488,Kontra,2,2025-01-07 16:23:24
489,Kontra,5,2025-01-07 16:32:56
490,Re,5,2025-01-07 16:42:51
491,Re,4,2025-01-08 13:38:33
492,Re,2,2025-01-08 13:44:14
493,Re,4,2025-01-08 13:54:05
494,Re,4,2025-01-08 14:04:56
495,Re,0,2025-01-08 14:12:53
496,Re,1,2025-01-09 14:07:16
497,Re,3,2025-01-09 14:14:10
498,Kontra,1,2025-01-09 14:21:04
499,Re,3,2025-01-09 14:28:15
500,Kontra,3,2025-01-09 14:36:55
501,Re,2,2025-01-10 13:54:39
502,Re,2,2025-01-10 14:00:47
503,Re,0,2025-01-10 14:10:15
504,Re,-1,2025-01-10 14:21:02
505,Re,1,2025-01-10 14:31:57
506,Re,3,2025-01-10 16:23:35
507,Re,2,2025-01-10 16:35:02
508,Kontra,5,2025-01-10 16:46:53
509,Re,3,2025-01-10 16:56:08
510,Re,1,2025-01-10 17:10:16
511,Re,4,2025-01-10 17:19:24
512,Kontra,4,2025-01-10 17:36:05
513,Kontra,5,2025-01-10 17:56:04
514,Kontra,2,2025-01-10 18:06:41
515,Re,2,2025-01-10 18:21:43
516,Kontra,2,2025-01-12 13:31:47
517,Re,2,2025-01-12 13:41:09
