round_id,team_id,position,party
207,4,3,Kontra
207,8,4,Re
208,2,1,Kontra
208,3,2,Re
208,4,3,Kontra
208,8,4,Re
209,2,1,Re
209,3,2,Kontra
209,4,3,Kontra
209,8,4,Kontra
210,2,1,Kontra
210,3,2,Re
210,4,3,Kontra
210,8,4,Re
211,10,1,Kontra
211,40,2,Kontra
211,17,3,Re
211,1,4,Re
212,10,1,Kontra
212,40,2,Re
212,17,3,Kontra
212,1,4,Kontra
213,10,1,Kontra
213,40,2,Re
213,17,3,Kontra
213,1,4,Kontra
214,10,1,Re
214,40,2,Kontra
214,17,3,Re
214,1,4,Kontra
215,17,1,Re
215,21,2,Kontra
215,1,3,Kontra
215,2,4,Re
216,17,1,Kontra
216,16,2,Re
216,1,3,Kontra
216,2,4,Re
217,17,1,Re
217,16,2,Kontra
217,1,3,Re
217,2,4,Kontra
218,17,1,Kontra
218,16,2,Re
218,1,3,Kontra
218,5,4,Re
219,25,1,Re
219,10,2,Re
219,21,3,Kontra
219,48,4,Kontra
220,25,1,Re
220,10,2,Re
220,21,3,Kontra
220,48,4,Kontra
221,25,1,Kontra
221,10,2,Kontra
221,21,3,Re
221,48,4,Kontra
222,25,1,Re
222,10,2,Re
222,21,3,Kontra
222,48,4,Kontra
223,3,1,Re
223,2,2,Kontra
223,17,3,Kontra
223,14,4,Kontra
224,3,1,Kontra
224,2,2,Re
224,17,3,Kontra
224,14,4,Re
225,2,1,Kontra
225,17,2,Kontra
225,14,3,Re
225,3,4,Re
226,2,1,Kontra
226,17,2,Kontra
226,14,3,Kontra
226,3,4,Re
227,17,1,Kontra
227,25,2,Re
227,40,3,Re
227,21,4,Kontra
228,17,1,Kontra
228,25,2,Kontra
228,40,3,Re
228,21,4,Re
229,17,1,Re
229,25,2,Kontra
229,40,3,Re
229,21,4,Kontra
230,4,1,Re
230,14,2,Kontra
230,32,3,Kontra
230,34,4,Re
231,4,1,Kontra
231,14,2,Kontra
231,32,3,Re
231,34,4,Kontra
232,4,1,Re
232,14,2,Kontra
232,32,3,Re
232,34,4,Kontra
233,1,1,Kontra
233,22,2,Re
233,21,3,Re
233,3,4,Kontra
234,1,1,Kontra
234,22,2,Re
234,21,3,Kontra
234,3,4,Re
235,2,1,Re
235,4,2,Re
235,11,3,Kontra
235,1,4,Kontra
236,2,1,Kontra
236,4,2,Kontra
236,11,3,Re
236,1,4,Re
237,2,1,Kontra
237,4,2,Kontra
237,11,3,Re
237,1,4,Re
238,2,1,Kontra
238,4,2,Kontra
238,11,3,Kontra
238,1,4,Re
239,2,1,Kontra
239,4,2,Re
239,11,3,Kontra
239,1,4,Re
240,2,1,Kontra
240,4,2,Kontra
240,11,3,Re
240,1,4,Re
241,2,1,Re
241,4,2,Re
241,11,3,Kontra
241,1,4,Kontra
242,2,1,Re
242,4,2,Kontra
242,11,3,Kontra
242,1,4,Re
243,55,1,Kontra
243,21,2,Kontra
243,3,3,Re
243,26,4,Re
244,55,1,Kontra
244,21,2,Kontra
244,3,3,Kontra
